,electricity
2023-01-01,0.08
2023-01-02,0.459
2023-01-03,0.201
2023-01-04,0.217
2023-01-05,0.057
2023-01-06,0.452
2023-01-07,0.248
2023-01-08,0.492
2023-01-09,0.268
2023-01-10,0.05
2023-01-11,0.28600000000000003
2023-01-12,0.232
2023-01-13,0.379
2023-01-14,0.315
2023-01-15,0.509
2023-01-16,0.6000000000000001
2023-01-17,0.417
2023-01-18,0.5840000000000001
2023-01-19,0.635
2023-01-20,0.885
2023-01-21,0.287
2023-01-22,0.073
2023-01-23,0.114
2023-01-24,0.133
2023-01-25,0.78
2023-01-26,0.896
2023-01-27,0.238
2023-01-28,1.0150000000000001
2023-01-29,0.164
2023-01-30,0.983
2023-01-31,0.683
2023-02-01,0.791
2023-02-02,0.20900000000000002
2023-02-03,0.253
2023-02-04,0.491
2023-02-05,0.433
2023-02-06,0.747
2023-02-07,0.201
2023-02-08,1.082
2023-02-09,1.167
2023-02-10,0.188
2023-02-11,0.542
2023-02-12,0.9780000000000001
2023-02-13,1.244
2023-02-14,0.992
2023-02-15,1.063
2023-02-16,0.369
2023-02-17,1.19
2023-02-18,0.40700000000000003
2023-02-19,0.295
2023-02-20,0.219
2023-02-21,0.653
2023-02-22,1.236
2023-02-23,1.235
2023-02-24,2.0340000000000003
2023-02-25,2.223
2023-02-26,2.2560000000000002
2023-02-27,2.308
2023-02-28,2.148
2023-03-01,1.923
2023-03-02,1.817
2023-03-03,2.306
2023-03-04,2.471
2023-03-05,1.599
2023-03-06,1.9840000000000002
2023-03-07,1.9480000000000002
2023-03-08,2.681
2023-03-09,1.182
2023-03-10,2.725
2023-03-11,1.337
2023-03-12,1.092
2023-03-13,0.516
2023-03-14,1.809
2023-03-15,0.797
2023-03-16,0.778
2023-03-17,1.601
2023-03-18,1.127
2023-03-19,1.807
2023-03-20,0.496
2023-03-21,1.8900000000000001
2023-03-22,2.306
2023-03-23,1.8010000000000002
2023-03-24,1.691
2023-03-25,2.186
2023-03-26,2.815
2023-03-27,4.091
2023-03-28,0.579
2023-03-29,0.988
2023-03-30,3.262
2023-03-31,2.241
2023-04-01,2.988
2023-04-02,3.114
2023-04-03,4.356
2023-04-04,2.891
2023-04-05,0.9470000000000001
2023-04-06,3.758
2023-04-07,4.7170000000000005
2023-04-08,3.425
2023-04-09,2.754
2023-04-10,3.064
2023-04-11,3.894
2023-04-12,3.054
2023-04-13,3.188
2023-04-14,3.579
2023-04-15,4.429
2023-04-16,1.546
2023-04-17,1.953
2023-04-18,4.908
2023-04-19,5.41
2023-04-20,5.547
2023-04-21,5.382
2023-04-22,3.607
2023-04-23,4.208
2023-04-24,4.1610000000000005
2023-04-25,5.043
2023-04-26,3.8970000000000002
2023-04-27,2.173
2023-04-28,2.1990000000000003
2023-04-29,1.542
2023-04-30,1.79
2023-05-01,3.1310000000000002
2023-05-02,2.829
2023-05-03,2.248
2023-05-04,4.17
2023-05-05,2.197
2023-05-06,3.0780000000000003
2023-05-07,4.234
2023-05-08,2.146
2023-05-09,5.343
2023-05-10,3.643
2023-05-11,5.082
2023-05-12,4.407
2023-05-13,5.675
2023-05-14,3.891
2023-05-15,5.327
2023-05-16,5.572
2023-05-17,3.306
2023-05-18,4.456
2023-05-19,5.139
2023-05-20,3.18
2023-05-21,2.323
2023-05-22,5.859
2023-05-23,5.454
2023-05-24,5.982
2023-05-25,6.5
2023-05-26,4.726
2023-05-27,4.481
2023-05-28,6.418
2023-05-29,6.619
2023-05-30,6.716
2023-05-31,5.891
2023-06-01,5.472
2023-06-02,6.542000000000001
2023-06-03,6.492
2023-06-04,6.506
2023-06-05,6.393000000000001
2023-06-06,5.134
2023-06-07,5.481
2023-06-08,5.862
2023-06-09,6.476
2023-06-10,5.194
2023-06-11,5.477
2023-06-12,5.037
2023-06-13,6.467
2023-06-14,6.815
2023-06-15,6.9590000000000005
2023-06-16,6.417
2023-06-17,3.846
2023-06-18,3.697
2023-06-19,5.42
2023-06-20,4.904
2023-06-21,5.758
2023-06-22,6.893000000000001
2023-06-23,3.286
2023-06-24,5.156
2023-06-25,4.495
2023-06-26,5.8100000000000005
2023-06-27,2.346
2023-06-28,4.07
2023-06-29,6.024
2023-06-30,2.926
2023-07-01,5.46
2023-07-02,4.579
2023-07-03,5.508
2023-07-04,3.036
2023-07-05,6.3420000000000005
2023-07-06,3.398
2023-07-07,5.37
2023-07-08,4.448
2023-07-09,6.166
2023-07-10,3.54
2023-07-11,4.678
2023-07-12,5.55
2023-07-13,6.08
2023-07-14,3.111
2023-07-15,5.104
2023-07-16,4.571
2023-07-17,5.41
2023-07-18,3.595
2023-07-19,5.697
2023-07-20,5.369
2023-07-21,6.0280000000000005
2023-07-22,4.008
2023-07-23,3.594
2023-07-24,5.487
2023-07-25,5.155
2023-07-26,4.303
2023-07-27,3.314
2023-07-28,4.565
2023-07-29,5.039000000000001
2023-07-30,5.134
2023-07-31,1.403
2023-08-01,4.141
2023-08-02,3.946
2023-08-03,4.57
2023-08-04,5.24
2023-08-05,2.097
2023-08-06,4.792
2023-08-07,4.691
2023-08-08,5.632
2023-08-09,4.815
2023-08-10,4.807
2023-08-11,5.323
2023-08-12,4.13
2023-08-13,4.736
2023-08-14,4.36
2023-08-15,4.44
2023-08-16,4.426
2023-08-17,4.801
2023-08-18,3.217
2023-08-19,3.958
2023-08-20,3.649
2023-08-21,4.398
2023-08-22,4.3870000000000005
2023-08-23,4.108
2023-08-24,4.8
2023-08-25,3.636
2023-08-26,3.624
2023-08-27,2.692
2023-08-28,3.165
2023-08-29,3.421
2023-08-30,4.578
2023-08-31,2.37
2023-09-01,4.212
2023-09-02,3.63
2023-09-03,4.2410000000000005
2023-09-04,4.532
2023-09-05,4.162
2023-09-06,3.529
2023-09-07,3.092
2023-09-08,3.516
2023-09-09,3.628
2023-09-10,2.912
2023-09-11,2.307
2023-09-12,3.029
2023-09-13,1.6680000000000001
2023-09-14,3.59
2023-09-15,1.351
2023-09-16,2.687
2023-09-17,1.6260000000000001
2023-09-18,2.2720000000000002
2023-09-19,2.399
2023-09-20,2.93
2023-09-21,2.405
2023-09-22,2.665
2023-09-23,3.119
2023-09-24,0.9650000000000001
2023-09-25,3.04
2023-09-26,2.056
2023-09-27,0.677
2023-09-28,1.75
2023-09-29,2.7640000000000002
2023-09-30,1.166
2023-10-01,2.71
2023-10-02,1.961
2023-10-03,2.3320000000000003
2023-10-04,0.9450000000000001
2023-10-05,0.879
2023-10-06,1.824
2023-10-07,0.525
2023-10-08,1.096
2023-10-09,1.77
2023-10-10,1.621
2023-10-11,2.31
2023-10-12,1.831
2023-10-13,2.1220000000000003
2023-10-14,1.58
2023-10-15,1.937
2023-10-16,1.388
2023-10-17,1.599
2023-10-18,1.063
2023-10-19,0.516
2023-10-20,1.365
2023-10-21,1.292
2023-10-22,1.798
