,electricity
2023-01-01,0.011
2023-01-02,0.131
2023-01-03,0.031
2023-01-04,0.033
2023-01-05,0.008
2023-01-06,0.11800000000000001
2023-01-07,0.039
2023-01-08,0.13
2023-01-09,0.045000000000000005
2023-01-10,0.008
2023-01-11,0.046
2023-01-12,0.035
2023-01-13,0.068
2023-01-14,0.057
2023-01-15,0.114
2023-01-16,0.15000000000000002
2023-01-17,0.07300000000000001
2023-01-18,0.134
2023-01-19,0.157
2023-01-20,0.30100000000000005
2023-01-21,0.04
2023-01-22,0.009000000000000001
2023-01-23,0.015
2023-01-24,0.018000000000000002
2023-01-25,0.194
2023-01-26,0.26
2023-01-27,0.033
2023-01-28,0.299
2023-01-29,0.022
2023-01-30,0.264
2023-01-31,0.125
2023-02-01,0.156
2023-02-02,0.027
2023-02-03,0.034
2023-02-04,0.076
2023-02-05,0.07
2023-02-06,0.125
2023-02-07,0.026000000000000002
2023-02-08,0.231
2023-02-09,0.259
2023-02-10,0.024
2023-02-11,0.078
2023-02-12,0.171
2023-02-13,0.265
2023-02-14,0.16799999999999998
2023-02-15,0.202
2023-02-16,0.05
2023-02-17,0.213
2023-02-18,0.055
2023-02-19,0.04
2023-02-20,0.029
2023-02-21,0.09
2023-02-22,0.20600000000000002
2023-02-23,0.237
2023-02-24,0.47000000000000003
2023-02-25,0.53
2023-02-26,0.531
2023-02-27,0.529
2023-02-28,0.464
2023-03-01,0.37
2023-03-02,0.33
2023-03-03,0.487
2023-03-04,0.539
2023-03-05,0.257
2023-03-06,0.35000000000000003
2023-03-07,0.334
2023-03-08,0.562
2023-03-09,0.169
2023-03-10,0.555
2023-03-11,0.194
2023-03-12,0.15
2023-03-13,0.066
2023-03-14,0.271
2023-03-15,0.10500000000000001
2023-03-16,0.10300000000000001
2023-03-17,0.229
2023-03-18,0.152
2023-03-19,0.278
2023-03-20,0.064
2023-03-21,0.29000000000000004
2023-03-22,0.357
2023-03-23,0.26
2023-03-24,0.245
2023-03-25,0.322
2023-03-26,0.457
2023-03-27,0.771
2023-03-28,0.075
2023-03-29,0.128
2023-03-30,0.549
2023-03-31,0.33
2023-04-01,0.465
2023-04-02,0.49200000000000005
2023-04-03,0.78
2023-04-04,0.443
2023-04-05,0.12400000000000001
2023-04-06,0.622
2023-04-07,0.83
2023-04-08,0.542
2023-04-09,0.392
2023-04-10,0.45
2023-04-11,0.639
2023-04-12,0.449
2023-04-13,0.47300000000000003
2023-04-14,0.54
2023-04-15,0.732
2023-04-16,0.203
2023-04-17,0.258
2023-04-18,0.802
2023-04-19,0.887
2023-04-20,0.905
2023-04-21,0.872
2023-04-22,0.523
2023-04-23,0.631
2023-04-24,0.612
2023-04-25,0.783
2023-04-26,0.5630000000000001
2023-04-27,0.29000000000000004
2023-04-28,0.287
2023-04-29,0.199
2023-04-30,0.234
2023-05-01,0.426
2023-05-02,0.379
2023-05-03,0.294
2023-05-04,0.615
2023-05-05,0.28700000000000003
2023-05-06,0.41800000000000004
2023-05-07,0.604
2023-05-08,0.281
2023-05-09,0.809
2023-05-10,0.497
2023-05-11,0.737
2023-05-12,0.618
2023-05-13,0.846
2023-05-14,0.526
2023-05-15,0.766
2023-05-16,0.8150000000000001
2023-05-17,0.438
2023-05-18,0.628
2023-05-19,0.737
2023-05-20,0.424
2023-05-21,0.302
2023-05-22,0.85
2023-05-23,0.779
2023-05-24,0.852
2023-05-25,0.936
2023-05-26,0.645
2023-05-27,0.605
2023-05-28,0.913
2023-05-29,0.937
2023-05-30,0.9400000000000001
2023-05-31,0.8200000000000001
2023-06-01,0.758
2023-06-02,0.92
2023-06-03,0.922
2023-06-04,0.917
2023-06-05,0.905
2023-06-06,0.705
2023-06-07,0.75
2023-06-08,0.8360000000000001
2023-06-09,0.9
2023-06-10,0.713
2023-06-11,0.763
2023-06-12,0.684
2023-06-13,0.895
2023-06-14,0.933
2023-06-15,0.9520000000000001
2023-06-16,0.894
2023-06-17,0.508
2023-06-18,0.483
2023-06-19,0.743
2023-06-20,0.668
2023-06-21,0.793
2023-06-22,0.9510000000000001
2023-06-23,0.43400000000000005
2023-06-24,0.7040000000000001
2023-06-25,0.587
2023-06-26,0.798
2023-06-27,0.3
2023-06-28,0.514
2023-06-29,0.837
2023-06-30,0.376
2023-07-01,0.744
2023-07-02,0.61
2023-07-03,0.766
2023-07-04,0.393
2023-07-05,0.888
2023-07-06,0.437
2023-07-07,0.757
2023-07-08,0.601
2023-07-09,0.884
2023-07-10,0.46900000000000003
2023-07-11,0.629
2023-07-12,0.795
2023-07-13,0.868
2023-07-14,0.424
2023-07-15,0.7020000000000001
2023-07-16,0.637
2023-07-17,0.766
2023-07-18,0.47500000000000003
2023-07-19,0.806
2023-07-20,0.744
2023-07-21,0.868
2023-07-22,0.547
2023-07-23,0.48300000000000004
2023-07-24,0.786
2023-07-25,0.737
2023-07-26,0.598
2023-07-27,0.442
2023-07-28,0.664
2023-07-29,0.7230000000000001
2023-07-30,0.75
2023-07-31,0.183
2023-08-01,0.5880000000000001
2023-08-02,0.5650000000000001
2023-08-03,0.651
2023-08-04,0.784
2023-08-05,0.27
2023-08-06,0.707
2023-08-07,0.691
2023-08-08,0.858
2023-08-09,0.6990000000000001
2023-08-10,0.725
2023-08-11,0.8280000000000001
2023-08-12,0.617
2023-08-13,0.723
2023-08-14,0.648
2023-08-15,0.662
2023-08-16,0.675
2023-08-17,0.741
2023-08-18,0.45
2023-08-19,0.582
2023-08-20,0.528
2023-08-21,0.688
2023-08-22,0.691
2023-08-23,0.645
2023-08-24,0.78
2023-08-25,0.553
2023-08-26,0.558
2023-08-27,0.372
2023-08-28,0.46900000000000003
2023-08-29,0.513
2023-08-30,0.767
2023-08-31,0.338
2023-09-01,0.7040000000000001
2023-09-02,0.5780000000000001
2023-09-03,0.724
2023-09-04,0.789
2023-09-05,0.7190000000000001
2023-09-06,0.5810000000000001
2023-09-07,0.506
2023-09-08,0.592
2023-09-09,0.623
2023-09-10,0.465
2023-09-11,0.331
2023-09-12,0.486
2023-09-13,0.227
2023-09-14,0.644
2023-09-15,0.182
2023-09-16,0.432
2023-09-17,0.23
2023-09-18,0.35700000000000004
2023-09-19,0.385
2023-09-20,0.517
2023-09-21,0.401
