,electricity
2023-01-01,0.253
2023-01-02,2.303
2023-01-03,0.7060000000000001
2023-01-04,0.645
2023-01-05,0.178
2023-01-06,2.11
2023-01-07,0.937
2023-01-08,2.332
2023-01-09,0.911
2023-01-10,0.15
2023-01-11,0.962
2023-01-12,0.8240000000000001
2023-01-13,1.4180000000000001
2023-01-14,1.131
2023-01-15,2.1390000000000002
2023-01-16,2.7
2023-01-17,1.5110000000000001
2023-01-18,2.474
2023-01-19,3.038
2023-01-20,5.092
2023-01-21,0.919
2023-01-22,0.198
2023-01-23,0.34099999999999997
2023-01-24,0.412
2023-01-25,3.463
2023-01-26,4.569
2023-01-27,0.755
2023-01-28,5.111
2023-01-29,0.527
2023-01-30,4.696
2023-01-31,2.722
2023-02-01,2.821
2023-02-02,0.66
2023-02-03,0.867
2023-02-04,1.687
2023-02-05,1.451
2023-02-06,2.614
2023-02-07,0.598
2023-02-08,4.497
2023-02-09,5.027
2023-02-10,0.604
2023-02-11,1.787
2023-02-12,3.54
2023-02-13,5.394
2023-02-14,3.463
2023-02-15,4.143
2023-02-16,1.1540000000000001
2023-02-17,4.182
2023-02-18,1.3439999999999999
2023-02-19,0.948
2023-02-20,0.643
2023-02-21,2.128
2023-02-22,4.401
2023-02-23,4.695
2023-02-24,8.877
2023-02-25,10.024000000000001
2023-02-26,9.892
2023-02-27,9.928
2023-02-28,9.069
2023-03-01,7.644
2023-03-02,7.039000000000001
2023-03-03,9.059000000000001
2023-03-04,10.502
2023-03-05,5.362
2023-03-06,7.346
2023-03-07,7.076
2023-03-08,10.958
2023-03-09,3.771
2023-03-10,10.966
2023-03-11,4.328
2023-03-12,3.4130000000000003
2023-03-13,1.595
2023-03-14,5.839
2023-03-15,2.397
2023-03-16,2.467
2023-03-17,5.0600000000000005
2023-03-18,3.483
2023-03-19,5.962
2023-03-20,1.619
2023-03-21,6.187
2023-03-22,7.835
2023-03-23,6.0840000000000005
2023-03-24,5.6290000000000004
2023-03-25,6.836
2023-03-26,10.013
2023-03-27,15.588
2023-03-28,1.7120000000000002
