,electricity
2023-01-01,0.099
2023-01-02,1.312
2023-01-03,0.299
2023-01-04,0.359
2023-01-05,0.075
2023-01-06,1.081
2023-01-07,0.33899999999999997
2023-01-08,1.181
2023-01-09,0.456
2023-01-10,0.069
2023-01-11,0.436
2023-01-12,0.345
2023-01-13,0.623
2023-01-14,0.6140000000000001
2023-01-15,1.0830000000000002
2023-01-16,1.4700000000000002
2023-01-17,0.6910000000000001
2023-01-18,1.2400000000000002
2023-01-19,1.383
2023-01-20,2.723
2023-01-21,0.411
2023-01-22,0.112
2023-01-23,0.147
2023-01-24,0.164
2023-01-25,1.861
2023-01-26,2.445
2023-01-27,0.313
2023-01-28,2.8609999999999998
2023-01-29,0.20600000000000002
2023-01-30,2.5020000000000002
2023-01-31,1.065
2023-02-01,1.6440000000000001
2023-02-02,0.265
2023-02-03,0.312
2023-02-04,0.738
2023-02-05,0.652
2023-02-06,1.251
2023-02-07,0.263
2023-02-08,2.3160000000000003
2023-02-09,2.395
2023-02-10,0.225
2023-02-11,0.708
2023-02-12,1.661
2023-02-13,2.301
2023-02-14,1.729
2023-02-15,1.808
2023-02-16,0.481
2023-02-17,2.172
2023-02-18,0.465
2023-02-19,0.373
2023-02-20,0.28600000000000003
2023-02-21,0.854
2023-02-22,1.838
2023-02-23,2.394
2023-02-24,4.342
2023-02-25,4.858
2023-02-26,4.941
2023-02-27,4.955
2023-02-28,4.212
2023-03-01,3.253
2023-03-02,2.83
2023-03-03,4.61
2023-03-04,4.957
2023-03-05,2.477
2023-03-06,3.229
2023-03-07,3.1140000000000003
2023-03-08,5.261
2023-03-09,1.585
2023-03-10,5.265
2023-03-11,1.84
2023-03-12,1.453
2023-03-13,0.623
2023-03-14,2.584
2023-03-15,1.0130000000000001
2023-03-16,0.9470000000000001
2023-03-17,2.259
2023-03-18,1.482
2023-03-19,2.777
2023-03-20,0.576
2023-03-21,2.854
2023-03-22,3.496
2023-03-23,2.407
2023-03-24,2.25
2023-03-25,3.2190000000000003
2023-03-26,4.127
2023-03-27,7.24
2023-03-28,0.742
2023-03-29,1.22
2023-03-30,5.495
2023-03-31,2.609
2023-04-01,4.175
2023-04-02,4.546
2023-04-03,7.162
2023-04-04,4.0440000000000005
2023-04-05,1.194
2023-04-06,5.667000000000001
2023-04-07,7.648
2023-04-08,5.343
2023-04-09,3.6260000000000003
2023-04-10,4.118
2023-04-11,5.913
2023-04-12,4.258
2023-04-13,4.211
2023-04-14,5.104
2023-04-15,6.6690000000000005
2023-04-16,1.911
2023-04-17,2.234
2023-04-18,6.993
2023-04-19,8.175
2023-04-20,8.312
2023-04-21,8.031
2023-04-22,5.031000000000001
2023-04-23,5.797000000000001
2023-04-24,5.776
2023-04-25,7.106
2023-04-26,5.135
2023-04-27,2.7840000000000003
2023-04-28,2.6670000000000003
2023-04-29,1.828
2023-04-30,2.081
2023-05-01,3.8890000000000002
2023-05-02,3.6580000000000004
2023-05-03,2.718
2023-05-04,5.8580000000000005
2023-05-05,2.3890000000000002
2023-05-06,3.717
2023-05-07,5.403
2023-05-08,2.596
2023-05-09,7.383
2023-05-10,4.966
2023-05-11,6.906
2023-05-12,5.38
2023-05-13,7.523000000000001
2023-05-14,4.754
2023-05-15,6.862
2023-05-16,7.605
2023-05-17,4.186
2023-05-18,5.9030000000000005
2023-05-19,7.063
2023-05-20,3.997
2023-05-21,2.5660000000000003
2023-05-22,7.739
2023-05-23,7.3180000000000005
2023-05-24,7.8180000000000005
2023-05-25,8.51
2023-05-26,5.761
2023-05-27,5.729
2023-05-28,8.475999999999999
2023-05-29,8.593
2023-05-30,8.678
2023-05-31,7.112
2023-06-01,6.765
2023-06-02,8.506
2023-06-03,8.443
2023-06-04,8.423
2023-06-05,8.186
2023-06-06,6.0280000000000005
2023-06-07,6.437
2023-06-08,7.63
2023-06-09,8.45
2023-06-10,6.836
2023-06-11,6.884
2023-06-12,6.335
2023-06-13,8.239
2023-06-14,8.595
2023-06-15,8.81
2023-06-16,8.4
2023-06-17,4.466
2023-06-18,4.885
2023-06-19,7.033
2023-06-20,5.809
2023-06-21,7.178
2023-06-22,8.772
2023-06-23,4.031000000000001
2023-06-24,6.353000000000001
2023-06-25,5.396
2023-06-26,7.37
2023-06-27,2.8200000000000003
2023-06-28,4.665
2023-06-29,7.853000000000001
2023-06-30,3.5300000000000002
2023-07-01,7.134
2023-07-02,6.089
2023-07-03,7.222
2023-07-04,3.543
2023-07-05,8.301
2023-07-06,4.317
2023-07-07,6.929
2023-07-08,5.708
2023-07-09,7.968000000000001
2023-07-10,4.4190000000000005
2023-07-11,5.811
2023-07-12,7.383
2023-07-13,7.976
2023-07-14,3.905
2023-07-15,6.331
2023-07-16,6.071000000000001
2023-07-17,6.8740000000000006
2023-07-18,4.515
2023-07-19,7.497
2023-07-20,6.848
2023-07-21,8.139
2023-07-22,5.5680000000000005
2023-07-23,4.383
2023-07-24,7.386
2023-07-25,6.751
2023-07-26,5.639
2023-07-27,3.919
2023-07-28,5.8950000000000005
2023-07-29,6.9030000000000005
2023-07-30,6.985
2023-07-31,1.683
2023-08-01,5.657
2023-08-02,5.189
2023-08-03,6.1240000000000006
2023-08-04,7.378
2023-08-05,2.5340000000000003
2023-08-06,6.293
2023-08-07,6.422000000000001
2023-08-08,7.861000000000001
2023-08-09,6.587000000000001
2023-08-10,6.572
2023-08-11,7.598
2023-08-12,5.626
2023-08-13,6.748
2023-08-14,6.157
2023-08-15,6.178
2023-08-16,5.975
2023-08-17,6.899
2023-08-18,4.039000000000001
2023-08-19,5.601
2023-08-20,4.843
2023-08-21,6.311
2023-08-22,6.407
2023-08-23,6.034
2023-08-24,7.2540000000000004
2023-08-25,5.216
2023-08-26,5.098
2023-08-27,3.519
2023-08-28,4.566
2023-08-29,4.95
2023-08-30,7.094
2023-08-31,3.145
2023-09-01,6.793
2023-09-02,5.415
2023-09-03,6.572
2023-09-04,7.2459999999999996
2023-09-05,6.676
2023-09-06,5.284
2023-09-07,4.7700000000000005
2023-09-08,5.46
2023-09-09,5.823
2023-09-10,4.42
2023-09-11,3.029
2023-09-12,4.4190000000000005
2023-09-13,2.152
2023-09-14,5.845
2023-09-15,1.78
2023-09-16,3.964
2023-09-17,2.286
2023-09-18,3.123
2023-09-19,3.687
2023-09-20,4.965
2023-09-21,3.983
2023-09-22,4.086
2023-09-23,5.573
2023-09-24,1.21
2023-09-25,5.404
2023-09-26,3.047
2023-09-27,0.853
2023-09-28,2.3
2023-09-29,4.945
2023-09-30,1.5070000000000001
2023-10-01,4.908
2023-10-02,3.1350000000000002
2023-10-03,4.1610000000000005
2023-10-04,1.191
2023-10-05,1.186
2023-10-06,3.111
2023-10-07,0.609
2023-10-08,1.3860000000000001
2023-10-09,2.923
2023-10-10,2.73
2023-10-11,4.759
2023-10-12,3.308
2023-10-13,4.1610000000000005
2023-10-14,2.69
2023-10-15,3.7840000000000003
2023-10-16,2.306
2023-10-17,2.9250000000000003
2023-10-18,1.366
2023-10-19,0.587
2023-10-20,2.078
2023-10-21,1.747
2023-10-22,3.938
2023-10-23,2.339
2023-10-24,2.249
2023-10-25,0.884
2023-10-26,0.803
2023-10-27,1.008
2023-10-28,1.214
2023-10-29,0.28
2023-10-30,2.7630000000000003
2023-10-31,4.017
2023-11-01,0.337
2023-11-02,0.606
2023-11-03,2.001
2023-11-04,0.579
2023-11-05,3.008
2023-11-06,0.951
2023-11-07,1.886
2023-11-08,1.681
2023-11-09,1.064
2023-11-10,2.886
2023-11-11,3.388
2023-11-12,2.201
2023-11-13,0.20800000000000002
2023-11-14,0.286
2023-11-15,0.728
2023-11-16,0.272
2023-11-17,0.5780000000000001
2023-11-18,0.256
2023-11-19,0.528
2023-11-20,0.672
2023-11-21,0.79
2023-11-22,0.11
2023-11-23,1.252
2023-11-24,2.882
2023-11-25,1.714
2023-11-26,0.107
2023-11-27,0.8590000000000001
2023-11-28,2.065
