,electricity
2023-01-01,0.082
2023-01-02,0.974
2023-01-03,0.249
2023-01-04,0.23800000000000002
2023-01-05,0.057
2023-01-06,0.901
2023-01-07,0.317
2023-01-08,0.964
2023-01-09,0.33
2023-01-10,0.051000000000000004
2023-01-11,0.342
2023-01-12,0.29300000000000004
2023-01-13,0.512
2023-01-14,0.414
2023-01-15,0.8200000000000001
2023-01-16,1.103
2023-01-17,0.547
2023-01-18,0.996
2023-01-19,1.182
2023-01-20,2.188
2023-01-21,0.32
2023-01-22,0.073
2023-01-23,0.112
2023-01-24,0.135
2023-01-25,1.416
2023-01-26,1.846
2023-01-27,0.253
2023-01-28,2.154
2023-01-29,0.168
2023-01-30,1.9280000000000002
2023-01-31,0.9750000000000001
2023-02-01,1.099
2023-02-02,0.21400000000000002
2023-02-03,0.28099999999999997
2023-02-04,0.582
2023-02-05,0.535
2023-02-06,0.929
2023-02-07,0.201
2023-02-08,1.785
2023-02-09,1.9180000000000001
2023-02-10,0.191
2023-02-11,0.6
2023-02-12,1.308
2023-02-13,2.111
2023-02-14,1.2770000000000001
2023-02-15,1.54
2023-02-16,0.379
2023-02-17,1.5450000000000002
2023-02-18,0.41500000000000004
2023-02-19,0.306
2023-02-20,0.216
2023-02-21,0.7
2023-02-22,1.586
2023-02-23,1.629
2023-02-24,3.4290000000000003
2023-02-25,3.834
2023-02-26,3.769
2023-02-27,3.857
2023-02-28,3.346
2023-03-01,2.78
2023-03-02,2.406
2023-03-03,3.527
2023-03-04,3.9
2023-03-05,1.941
2023-03-06,2.637
2023-03-07,2.452
2023-03-08,4.007
2023-03-09,1.244
2023-03-10,3.953
2023-03-11,1.428
2023-03-12,1.155
2023-03-13,0.515
2023-03-14,2.068
2023-03-15,0.793
2023-03-16,0.794
2023-03-17,1.77
2023-03-18,1.175
2023-03-19,1.996
2023-03-20,0.507
2023-03-21,2.253
2023-03-22,2.625
2023-03-23,2.107
2023-03-24,1.92
2023-03-25,2.366
2023-03-26,3.516
2023-03-27,5.646
2023-03-28,0.5670000000000001
2023-03-29,0.991
2023-03-30,4.1000000000000005
2023-03-31,2.579
2023-04-01,3.522
2023-04-02,3.7920000000000003
2023-04-03,5.899
2023-04-04,3.469
2023-04-05,0.934
2023-04-06,4.829
2023-04-07,6.285
2023-04-08,4.033
2023-04-09,2.997
2023-04-10,3.543
2023-04-11,4.758
2023-04-12,3.346
2023-04-13,3.66
2023-04-14,4.173
2023-04-15,5.567
2023-04-16,1.564
2023-04-17,2.0380000000000003
2023-04-18,6.335
2023-04-19,6.731
2023-04-20,6.888
2023-04-21,6.623
2023-04-22,3.682
2023-04-23,4.694
2023-04-24,4.533
2023-04-25,5.963
2023-04-26,4.303
2023-04-27,2.238
2023-04-28,2.2680000000000002
2023-04-29,1.541
2023-04-30,1.821
2023-05-01,3.159
2023-05-02,2.856
2023-05-03,2.262
2023-05-04,4.577
2023-05-05,2.327
2023-05-06,3.213
2023-05-07,4.684
2023-05-08,2.1870000000000003
2023-05-09,6.093
2023-05-10,3.7800000000000002
2023-05-11,5.48
2023-05-12,5.089
2023-05-13,6.6770000000000005
2023-05-14,4.247
2023-05-15,5.881
2023-05-16,6.182
2023-05-17,3.2550000000000003
2023-05-18,4.734
2023-05-19,5.412
2023-05-20,3.254
2023-05-21,2.353
2023-05-22,6.587
2023-05-23,5.907
2023-05-24,6.714
2023-05-25,7.259
2023-05-26,4.792
2023-05-27,4.649
2023-05-28,6.889
2023-05-29,7.223
2023-05-30,7.199
2023-05-31,6.589
2023-06-01,5.8870000000000005
2023-06-02,7.106
2023-06-03,7.087
2023-06-04,7.047000000000001
2023-06-05,7.16
2023-06-06,5.691
2023-06-07,6.154
2023-06-08,6.436
2023-06-09,6.761
2023-06-10,5.218
2023-06-11,6.0200000000000005
2023-06-12,5.243
2023-06-13,6.893
2023-06-14,7.183000000000001
2023-06-15,7.276000000000001
2023-06-16,6.655
2023-06-17,4.081
2023-06-18,3.507
2023-06-19,5.8870000000000005
2023-06-20,5.3950000000000005
2023-06-21,6.171
2023-06-22,7.279
2023-06-23,3.392
2023-06-24,5.678
2023-06-25,4.682
2023-06-26,6.156
2023-06-27,2.313
2023-06-28,4.112
2023-06-29,6.337
2023-06-30,2.849
2023-07-01,5.647
2023-07-02,4.39
2023-07-03,5.663
2023-07-04,2.975
2023-07-05,6.667
2023-07-06,3.119
2023-07-07,5.952
2023-07-08,4.338
2023-07-09,6.83
2023-07-10,3.587
2023-07-11,4.799
2023-07-12,6.009
2023-07-13,6.6690000000000005
2023-07-14,3.266
2023-07-15,5.221
2023-07-16,4.923
2023-07-17,6.102
2023-07-18,3.568
2023-07-19,5.960000000000001
2023-07-20,5.6240000000000006
2023-07-21,6.3740000000000006
2023-07-22,3.9410000000000003
2023-07-23,3.669
2023-07-24,5.706
2023-07-25,5.555
2023-07-26,4.454
2023-07-27,3.515
2023-07-28,5.313
2023-07-29,5.2780000000000005
2023-07-30,5.609
2023-07-31,1.4020000000000001
2023-08-01,4.435
2023-08-02,4.399
2023-08-03,4.7459999999999996
2023-08-04,5.719
2023-08-05,2.08
2023-08-06,5.301
2023-08-07,5.197
2023-08-08,6.561
2023-08-09,5.135000000000001
2023-08-10,5.598
2023-08-11,6.304
2023-08-12,4.781
2023-08-13,5.376
2023-08-14,4.62
2023-08-15,4.904
2023-08-16,5.1770000000000005
2023-08-17,5.476
2023-08-18,3.482
2023-08-19,4.498
2023-08-20,4.167
2023-08-21,5.296
2023-08-22,5.324
2023-08-23,4.837
2023-08-24,5.833
2023-08-25,4.04
2023-08-26,4.154
2023-08-27,2.842
2023-08-28,3.347
2023-08-29,3.785
2023-08-30,5.722
2023-08-31,2.508
2023-09-01,5.098
2023-09-02,4.333
2023-09-03,5.563000000000001
2023-09-04,6.001
2023-09-05,5.414000000000001
2023-09-06,4.51
2023-09-07,3.645
2023-09-08,4.377
2023-09-09,4.755
2023-09-10,3.387
2023-09-11,2.513
2023-09-12,3.6780000000000004
2023-09-13,1.746
2023-09-14,4.982
2023-09-15,1.361
2023-09-16,3.2800000000000002
2023-09-17,1.707
2023-09-18,2.8280000000000003
2023-09-19,2.8640000000000003
2023-09-20,3.916
2023-09-21,2.945
2023-09-22,3.418
2023-09-23,4.241
2023-09-24,0.975
2023-09-25,4.476
2023-09-26,2.7550000000000003
2023-09-27,0.671
2023-09-28,2.053
2023-09-29,4.113
2023-09-30,1.212
2023-10-01,4.132
2023-10-02,2.411
2023-10-03,3.234
2023-10-04,1.016
2023-10-05,0.89
2023-10-06,2.339
2023-10-07,0.536
2023-10-08,1.24
2023-10-09,2.442
2023-10-10,2.105
2023-10-11,3.7960000000000003
2023-10-12,2.571
2023-10-13,3.482
2023-10-14,2.024
2023-10-15,3.0180000000000002
2023-10-16,1.9080000000000001
2023-10-17,2.216
2023-10-18,1.242
2023-10-19,0.5640000000000001
2023-10-20,1.98
2023-10-21,1.7770000000000001
2023-10-22,3.3240000000000003
2023-10-23,1.9080000000000001
2023-10-24,2.024
2023-10-25,0.8130000000000001
2023-10-26,0.706
2023-10-27,0.858
2023-10-28,1.0170000000000001
2023-10-29,0.252
2023-10-30,2.094
2023-10-31,3.1340000000000003
2023-11-01,0.307
2023-11-02,0.552
2023-11-03,1.6280000000000001
2023-11-04,0.54
2023-11-05,2.505
2023-11-06,0.8320000000000001
2023-11-07,1.651
2023-11-08,1.372
2023-11-09,0.9319999999999999
2023-11-10,2.227
2023-11-11,2.85
2023-11-12,1.852
2023-11-13,0.193
2023-11-14,0.258
2023-11-15,0.468
2023-11-16,0.231
2023-11-17,0.489
2023-11-18,0.239
2023-11-19,0.439
2023-11-20,0.534
2023-11-21,0.7090000000000001
2023-11-22,0.098
2023-11-23,0.857
2023-11-24,2.474
2023-11-25,1.325
2023-11-26,0.09999999999999999
2023-11-27,0.716
2023-11-28,1.707
2023-11-29,1.1
2023-11-30,1.221
2023-12-01,0.795
2023-12-02,0.457
2023-12-03,0.5690000000000001
2023-12-04,0.444
2023-12-05,1.028
2023-12-06,0.361
2023-12-07,0.017
2023-12-08,0.157
2023-12-09,0.057
2023-12-10,0.11800000000000001
2023-12-11,1.1380000000000001
2023-12-12,0.054000000000000006
2023-12-13,0.857
2023-12-14,0.677
2023-12-15,0.271
2023-12-16,0.167
2023-12-17,0.063
2023-12-18,0.101
2023-12-19,0.649
2023-12-20,0.14300000000000002
2023-12-21,0.249
2023-12-22,0.34500000000000003
2023-12-23,0.022000000000000002
2023-12-24,0.219
2023-12-25,0.14500000000000002
2023-12-26,1.141
2023-12-27,0.023
2023-12-28,0.12300000000000001
2023-12-29,0.194
2023-12-30,0.037000000000000005
2023-12-31,0.133
