,electricity
2023-01-01,0.31
2023-01-02,1.659
2023-01-03,0.5870000000000001
2023-01-04,0.421
2023-01-05,1.055
2023-01-06,1.0190000000000001
2023-01-07,1.708
2023-01-08,1.455
2023-01-09,0.68
2023-01-10,0.17300000000000001
2023-01-11,1.6760000000000002
2023-01-12,0.307
2023-01-13,2.273
2023-01-14,0.269
2023-01-15,1.897
2023-01-16,0.419
2023-01-17,1.424
2023-01-18,2.644
2023-01-19,1.022
2023-01-20,1.742
2023-01-21,3.7540000000000004
2023-01-22,2.4000000000000004
2023-01-23,2.128
2023-01-24,1.872
2023-01-25,1.748
2023-01-26,0.925
2023-01-27,2.561
2023-01-28,3.1020000000000003
2023-01-29,4.025
2023-01-30,0.759
2023-01-31,1.1840000000000002
2023-02-01,1.684
2023-02-02,2.6630000000000003
2023-02-03,0.802
2023-02-04,2.5700000000000003
2023-02-05,3.077
2023-02-06,3.714
2023-02-07,5.035
2023-02-08,5.1370000000000005
2023-02-09,4.121
2023-02-10,1.811
2023-02-11,1.83
2023-02-12,3.367
2023-02-13,3.931
2023-02-14,5.212
2023-02-15,2.454
2023-02-16,1.729
2023-02-17,2.912
2023-02-18,1.37
2023-02-19,3.8080000000000003
2023-02-20,3.838
2023-02-21,3.1
2023-02-22,1.164
2023-02-23,1.685
2023-02-24,3.8120000000000003
2023-02-25,4.377
2023-02-26,5.8180000000000005
2023-02-27,6.371
2023-02-28,5.714
2023-03-01,5.921
2023-03-02,5.264
2023-03-03,5.44
2023-03-04,5.378
2023-03-05,4.211
2023-03-06,3.7510000000000003
2023-03-07,2.5580000000000003
2023-03-08,2.847
2023-03-09,2.771
2023-03-10,1.947
2023-03-11,5.7620000000000005
2023-03-12,4.655
2023-03-13,4.194
2023-03-14,4.348
2023-03-15,4.589
2023-03-16,4.317
2023-03-17,1.895
2023-03-18,4.244
2023-03-19,3.3680000000000003
2023-03-20,3.855
2023-03-21,3.625
2023-03-22,1.5070000000000001
2023-03-23,2.46
2023-03-24,5.906
2023-03-25,4.547
2023-03-26,2.9280000000000004
2023-03-27,6.298
2023-03-28,4.814
2023-03-29,2.611
2023-03-30,4.734
2023-03-31,3.19
2023-04-01,3.6300000000000003
2023-04-02,3.319
2023-04-03,7.649
2023-04-04,7.885
2023-04-05,7.594
2023-04-06,2.57
2023-04-07,5.797000000000001
2023-04-08,6.901
2023-04-09,6.767
2023-04-10,2.836
2023-04-11,3.085
2023-04-12,4.677
2023-04-13,5.396
2023-04-14,2.353
2023-04-15,2.947
2023-04-16,6.6850000000000005
2023-04-17,5.808
2023-04-18,6.864
2023-04-19,7.28
2023-04-20,6.607
2023-04-21,7.187
2023-04-22,2.243
2023-04-23,2.039
2023-04-24,5.196
2023-04-25,5.606
2023-04-26,5.7540000000000004
2023-04-27,3.7470000000000003
2023-04-28,5.211
2023-04-29,6.6450000000000005
2023-04-30,4.7330000000000005
2023-05-01,5.092
2023-05-02,6.795
2023-05-03,8.21
2023-05-04,5.738
2023-05-05,5.808
2023-05-06,4.376
2023-05-07,4.465
2023-05-08,5.125
2023-05-09,2.224
2023-05-10,3.933
2023-05-11,5.627
2023-05-12,4.482
2023-05-13,6.955
2023-05-14,7.162
2023-05-15,4.806
2023-05-16,8.474
2023-05-17,7.736
2023-05-18,6.809
2023-05-19,8.281
2023-05-20,6.617
2023-05-21,7.21
2023-05-22,6.837000000000001
2023-05-23,7.434
2023-05-24,7.986
2023-05-25,8.353
2023-05-26,8.322000000000001
2023-05-27,7.863
2023-05-28,8.135
2023-05-29,8.194
2023-05-30,8.183
2023-05-31,8.266
2023-06-01,8.238
2023-06-02,8.425
2023-06-03,8.361
2023-06-04,8.333
2023-06-05,8.238
2023-06-06,7.956
2023-06-07,7.945
2023-06-08,7.957000000000001
2023-06-09,7.03
2023-06-10,6.633
2023-06-11,6.211
2023-06-12,7.482
2023-06-13,7.99
2023-06-14,8.236
2023-06-15,7.299
2023-06-16,7.8790000000000004
2023-06-17,4.354
2023-06-18,4.3180000000000005
2023-06-19,4.4990000000000006
2023-06-20,3.835
2023-06-21,7.266
2023-06-22,3.215
2023-06-23,7.982
2023-06-24,8.098
2023-06-25,8.027000000000001
2023-06-26,7.681
2023-06-27,7.575
2023-06-28,7.5920000000000005
2023-06-29,4.834
2023-06-30,7.516
2023-07-01,5.918
2023-07-02,8.213000000000001
2023-07-03,6.984
2023-07-04,5.306
2023-07-05,7.432
2023-07-06,8.238
2023-07-07,7.554
2023-07-08,6.239
2023-07-09,3.944
2023-07-10,6.872
2023-07-11,7.486
2023-07-12,7.777
2023-07-13,7.228000000000001
2023-07-14,6.062
2023-07-15,5.7
2023-07-16,7.171
2023-07-17,7.655
2023-07-18,7.055000000000001
2023-07-19,7.157
2023-07-20,6.248
2023-07-21,7.422000000000001
2023-07-22,6.5809999999999995
2023-07-23,3.0380000000000003
2023-07-24,6.891
2023-07-25,5.444
2023-07-26,6.771
2023-07-27,5.801
2023-07-28,4.192
2023-07-29,7.191
2023-07-30,7.3870000000000005
2023-07-31,3.499
2023-08-01,6.53
2023-08-02,6.426
2023-08-03,3.144
2023-08-04,5.777
2023-08-05,4.674
2023-08-06,7.896
2023-08-07,7.55
2023-08-08,6.2170000000000005
2023-08-09,5.82
2023-08-10,6.1450000000000005
2023-08-11,4.864
2023-08-12,5.759
2023-08-13,5.972
2023-08-14,6.427
2023-08-15,6.699
2023-08-16,5.492
2023-08-17,5.292
2023-08-18,4.945
2023-08-19,5.019
2023-08-20,6.464
2023-08-21,7.291
2023-08-22,6.877
2023-08-23,6.4110000000000005
2023-08-24,2.047
2023-08-25,4.88
2023-08-26,6.313000000000001
2023-08-27,7.12
2023-08-28,6.681
2023-08-29,5.874
2023-08-30,5.0040000000000004
2023-08-31,2.454
2023-09-01,4.016
2023-09-02,5.1530000000000005
2023-09-03,6.639
2023-09-04,6.868
2023-09-05,6.33
2023-09-06,6.531000000000001
2023-09-07,6.753
2023-09-08,6.221
2023-09-09,5.551
2023-09-10,6.031000000000001
2023-09-11,5.48
2023-09-12,1.929
2023-09-13,6.0520000000000005
2023-09-14,3.856
2023-09-15,6.481
2023-09-16,4.945
2023-09-17,1.887
2023-09-18,4.218
2023-09-19,4.963
2023-09-20,4.891
2023-09-21,1.663
2023-09-22,3.094
2023-09-23,5.813000000000001
2023-09-24,6.462
2023-09-25,4.856
2023-09-26,2.6830000000000003
2023-09-27,3.375
2023-09-28,3.878
2023-09-29,4.58
2023-09-30,3.904
2023-10-01,5.344
2023-10-02,5.239
2023-10-03,4.404
2023-10-04,4.292
