,electricity
2023-01-01,0.04
2023-01-02,0.233
2023-01-03,0.10500000000000001
2023-01-04,0.101
2023-01-05,0.03
2023-01-06,0.231
2023-01-07,0.14
2023-01-08,0.259
2023-01-09,0.131
2023-01-10,0.024
2023-01-11,0.145
2023-01-12,0.12100000000000001
2023-01-13,0.2
2023-01-14,0.155
2023-01-15,0.264
2023-01-16,0.30300000000000005
2023-01-17,0.212
2023-01-18,0.30300000000000005
2023-01-19,0.339
2023-01-20,0.466
2023-01-21,0.14
2023-01-22,0.03
2023-01-23,0.057
2023-01-24,0.069
2023-01-25,0.4
2023-01-26,0.466
2023-01-27,0.11800000000000001
2023-01-28,0.524
2023-01-29,0.085
2023-01-30,0.507
2023-01-31,0.366
2023-02-01,0.386
2023-02-02,0.10700000000000001
2023-02-03,0.13699999999999998
2023-02-04,0.249
2023-02-05,0.217
2023-02-06,0.378
2023-02-07,0.099
2023-02-08,0.542
2023-02-09,0.609
2023-02-10,0.099
2023-02-11,0.28600000000000003
2023-02-12,0.496
2023-02-13,0.668
2023-02-14,0.49
2023-02-15,0.5650000000000001
2023-02-16,0.186
2023-02-17,0.595
2023-02-18,0.227
2023-02-19,0.151
2023-02-20,0.105
2023-02-21,0.337
2023-02-22,0.65
2023-02-23,0.616
2023-02-24,1.06
2023-02-25,1.1680000000000001
2023-02-26,1.1800000000000002
2023-02-27,1.193
2023-02-28,1.1420000000000001
2023-03-01,1.031
2023-03-02,0.992
2023-03-03,1.176
2023-03-04,1.296
2023-03-05,0.802
2023-03-06,1.034
2023-03-07,1.0090000000000001
2023-03-08,1.395
2023-03-09,0.605
2023-03-10,1.407
2023-03-11,0.682
2023-03-12,0.545
2023-03-13,0.27
2023-03-14,0.91
2023-03-15,0.395
2023-03-16,0.41200000000000003
2023-03-17,0.788
2023-03-18,0.557
2023-03-19,0.906
2023-03-20,0.266
2023-03-21,0.9380000000000001
2023-03-22,1.173
2023-03-23,0.929
2023-03-24,0.876
2023-03-25,1.075
2023-03-26,1.479
2023-03-27,2.11
2023-03-28,0.281
2023-03-29,0.506
2023-03-30,1.589
2023-03-31,1.286
